Reference,Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Impact.Factor.2019,Journal.Publisher,Paper.doi,Paper.Notes,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Population.Trend,Location,Location.GPS,Latitude,Longitude,Wild.Managed.Captive,Management,Population.Type,Interventions,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size,Av.Clutch.Size.lower,Av.Clutch.Size.upper,Av.Clutch.Size.Mean,log.Clutch.Size,10^.Clutch.Size,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.min,Eggs.StudyClutch.max,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Proportion,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition,Other.Observations,Notes
Tomas et al.,2012,Tomas et al. 2012,Tomas et al. 2012 (01),Clutch size and egg volume in great tits (Parus major) increase under low intensity electromagnetic fields: A long-term field study,Environmental Research,5.715,Elsevier,﻿10.1016/j.envres.2012.07.007,NA,YES,YES,NO,1993,2001,9,Passeriformes,Paridae,Great Tit,Parus_major,Parus_major,Parus major,Parus_major,Not Recognised (NR),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Near Sagunto, Valencia, eastern Spain","﻿39°42'N, 0°15'W",39.7000000,-0.2500000,Wild managed,Managed,Exposed to electromagnetic fields,Nest boxes (cleaned between breeding seasons),Natural,Yes,No,No,No,No,No,No,No,13.54,86.46,2.46,NA,,,,8.09 ± 0.19,7.9,8.28,8.09,0.927498682,8.4625,NA,NA,NA,NA,NA,48,NA,48,NA,379.2,397.44,388.32,406.2,NA,NA,388.32,335.741472,0.8646,"""",Hatchlings/clutch size,Percentage/Proportion of eggs that hatched relative to clutch size,NA,NA,NA,,Excluded nests in which no eggs hatched
Tomas et al.,2012,Tomas et al. 2012,Tomas et al. 2012 (02),Clutch size and egg volume in great tits (Parus major) increase under low intensity electromagnetic fields: A long-term field study,Environmental Research,5.715,Elsevier,﻿10.1016/j.envres.2012.07.007,NA,YES,YES,NO,1993,2001,9,Passeriformes,Paridae,Great Tit,Parus_major,Parus_major,Parus major,Parus_major,Not Recognised (NR),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Near Sagunto, Valencia, eastern Spain","﻿39°42'N, 0°15'W",39.7000000,-0.2500000,Wild managed,Managed,Reference (not exposed to electromagnetic fields),Nest boxes (cleaned between breeding seasons),Natural,Yes,No,No,No,No,No,No,No,11.04,88.96,1.73,NA,,,,7.54 ± 0.13,7.41,7.67,7.54,0.927498682,8.4625,NA,NA,NA,NA,NA,101,NA,101,NA,748.41,774.67,761.54,854.7125,NA,NA,761.54,677.465984,0.8896,"""",Hatchlings/clutch size,Percentage/Proportion of eggs that hatched relative to clutch size,NA,NA,NA,,Excluded nests in which no eggs hatched
Toschik et al.,2005,Toschik et al. 2005,Toschik et al. 2005,"Effects of contaminant exposure on reproductive success of ospreys (Pandion haliaetus) nesting in Delaware River and Bay, USA",Environmental Toxicology and Chemistry,3.152,Wiley-Blackwell,﻿10.1897/04-141R.1,NA,YES,YES,YES,2002,2002,1,Accipitriformes,Pandionidae,Osprey,Pandion_haliaetus,Pandion_haliaetus,Pandion haliaetus,Pandion_haliaetus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Delaware River and Bay, USA",NA,39.1248260,-75.2485240,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,7.8125,92.1875,0.00,0.00,,,,3.1875,3.1875,3.1875,3.1875,0.469003348,2.944444333,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,64,59,0.921875,Not stated,Not stated,Not stated,Number or percentage of eggs that remain in nests throughout incubation that hatch,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,,Calculated mean HS % from table 5 - no SDs or SEs reported
Tuero et al.,2007,Tuero et al. 2007,Tuero et al. 2007 (01),Effects of Shiny Cowbird Molothrus bonariensis parasitism on different components of House Wren Troglodytes aedon reproductive success,Ibis,2.076,Wiley-Blackwell,﻿10.1111/j.1474-919X.2007.00676.x,NA,YES,YES,NO,2003,2006,3,Passeriformes,Troglodytidae,House Wren,Troglodytes_aedon,Troglodytes_aedon,Troglodytes aedon,Troglodytes_aedon,NA,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"El Destino, near Magdalena, Buenos Aires Province, Argentina","﻿35°08′S, 57°23′W",-35.1333330,-57.3833330,Wild managed,Managed,Manipulated - small clutch volume + early hatching cowbird,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,0,100,0.00,NA,,,,5.2 ± 0.1,5.1,5.3,5.2,0.798132497,6.2825,Manipulated - 3 host eggs + 1 cowbird egg + early hatching cowbird,NA,NA,NA,NA,5,NA,5,15,25.5,26.5,26,31.4125,NA,NA,15,15,1,"""",Number of hatchlings divided by the number of eggs present in the nest at the time of hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,,All nests manipulated
Tuero et al.,2007,Tuero et al. 2007,Tuero et al. 2007 (02),Effects of Shiny Cowbird Molothrus bonariensis parasitism on different components of House Wren Troglodytes aedon reproductive success,Ibis,2.076,Wiley-Blackwell,﻿10.1111/j.1474-919X.2007.00676.x,NA,YES,YES,NO,2003,2006,3,Passeriformes,Troglodytidae,House Wren,Troglodytes_aedon,Troglodytes_aedon,Troglodytes aedon,Troglodytes_aedon,NA,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"El Destino, near Magdalena, Buenos Aires Province, Argentina","﻿35°08′S, 57°23′W",-35.1333330,-57.3833330,Wild managed,Managed,Manipulated - small clutch volume + simulataneously hatching cowbird,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,0,100,0.00,NA,,,,5.2 ± 0.1,5.1,5.3,5.2,0.798132497,6.2825,Manipulated - 3 host eggs + 1 cowbird egg + simultaneously hatching cowbird,NA,NA,NA,NA,5,NA,5,15,25.5,26.5,26,31.4125,NA,NA,15,15,1,"""",Number of hatchlings divided by the number of eggs present in the nest at the time of hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,,All nests manipulated
Tuero et al.,2007,Tuero et al. 2007,Tuero et al. 2007 (03),Effects of Shiny Cowbird Molothrus bonariensis parasitism on different components of House Wren Troglodytes aedon reproductive success,Ibis,2.076,Wiley-Blackwell,﻿10.1111/j.1474-919X.2007.00676.x,NA,YES,YES,NO,2003,2006,3,Passeriformes,Troglodytidae,House Wren,Troglodytes_aedon,Troglodytes_aedon,Troglodytes aedon,Troglodytes_aedon,NA,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"El Destino, near Magdalena, Buenos Aires Province, Argentina","﻿35°08′S, 57°23′W",-35.1333330,-57.3833330,Wild managed,Managed,Manipulated - large clutch volume + early hatching cowbird,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,27,73,11.00,NA,,,,5.2 ± 0.1,5.1,5.3,5.2,0.798132497,6.2825,Manipulated - 5 host eggs + 1 cowbird egg + early hatching cowbird,NA,NA,NA,NA,6,NA,6,25,30.6,31.8,31.2,37.695,NA,NA,25,18.25,0.73,"""",Number of hatchlings divided by the number of eggs present in the nest at the time of hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,,All nests manipulated
Tuero et al.,2007,Tuero et al. 2007,Tuero et al. 2007 (04),Effects of Shiny Cowbird Molothrus bonariensis parasitism on different components of House Wren Troglodytes aedon reproductive success,Ibis,2.076,Wiley-Blackwell,﻿10.1111/j.1474-919X.2007.00676.x,NA,YES,YES,NO,2003,2006,3,Passeriformes,Troglodytidae,House Wren,Troglodytes_aedon,Troglodytes_aedon,Troglodytes aedon,Troglodytes_aedon,NA,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"El Destino, near Magdalena, Buenos Aires Province, Argentina","﻿35°08′S, 57°23′W",-35.1333330,-57.3833330,Wild managed,Managed,Manipulated - large clutch volume + simultaneously hatching cowbird,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,3,97,3.00,NA,,,,5.2 ± 0.1,5.1,5.3,5.2,0.798132497,6.2825,Manipulated - 5 host eggs + 1 cowbird egg + simultaneously hatching cowbird,NA,NA,NA,NA,6,NA,6,25,30.6,31.8,31.2,37.695,NA,NA,25,24.25,0.97,"""",Number of hatchlings divided by the number of eggs present in the nest at the time of hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,,All nests manipulated
Urbanek et al.,2010,Urbanek et al. 2010,Urbanek et al. 2010,Nest desertion in a reintroduced population of migratory whooping cranes,Proceedings of the North American Crane Workshop,NA,NA,NA,NA,YES,NO,NO,2005,2008,4,Gruiformes,Gruidae,Whooping Crane,Grus_americana,Grus_americana,Grus americana,Grus_americana,EN,EN,EN,Threatened,Threatened,NA,,Increasing,"Central Wisconsin, USA","﻿44°04'N, 90°10'W",44.0666670,-90.1666670,Wild,Unmanaged,Reintroduced,None,Natural,No,No,No,No,No,No,No,No,41.66666667,58.33333333,0.00,0.00,,,,1-2 eggs,1,2,1.5,0.29666519,1.98,NA,NA,NA,NA,NA,9,NA,9,12,9,18,13.5,17.82,NA,NA,12,7,0.583333333,NA,NA,NA,NA,NA,NA,,"Very small sample size; hatching success calculated from text, excluding deserted/predated/broken eggs"
Uzun et al.,2010,Uzun et al. 2010,Uzun et al. 2010,The effect of clutch size on egg and hatchling mass and measurements in the Common Coot Fulica atra,Ekoloji,NA,Cevkor Vakfi,﻿10.5053/ekoloji.2010.7419,NA,YES,YES (keywords only),NO,2008,2008,1,Gruiformes,Rallidae,Common Coot/Eurasian Coot,Fulica_atra,Fulica_atra,Fulica atra,Fulica_atra,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"﻿Poyrazlar Lake, Northwest Turkey","﻿40°50'N, 30°28'E",40.8333330,30.4666670,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,8.474576271,91.52542373,0.00,0.00,,,,6.6 ± 0.34,6.26,6.94,6.6,0.874336835,7.4875,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,59,54,0.915254237,Not stated,Not stated,Not stated,NA,NA,NA,,"States 66 marked and measured eggs: 54 hatched, 5 infertile, 7 lost"
Van De Loock et al.,2020,Van De Loock et al. 2020,Van De Loock et al. 2020,Flexible nest-site selection under anthropogenic habitat change in an Afrotropical understorey insectivore,Ibis,2.076,Wiley-Blackwell,﻿10.1111/ibi.12691,NA,YES,YES,NO,2009,2011,2,Passeriformes,Pycnonotidae,Placid Greenbul,Phyllastrephus_placidus,NA,NA,NA,Not Recognised (NR),NR,NR,NA,NA,NA,,Not Recognised (NR),"Taita Hills, Kenya",NA,-3.3825040,38.3624700,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,0,100,0.00,0.00,,,,1-3 eggs,1,3,2,NA,NA,NA,NA,NA,NA,NA,34,NA,34,NA,34,102,68,NA,NA,NA,68,68,1,"""",Probability that at least one egg of a clutch hatches,Probability that at least one egg of a clutch/nest hatches,NA,NA,NA,,"26/60 (43%) nests failed before hatching, but all failures due to predation or desertion"
van Oosten,2016,van Oosten 2016,van Oosten 2016 (01),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,1.088,Netherlands Ornithologists' Union,﻿10.5253/arde.v104i3.a2,Found in van Oosten et al. (2019),YES,YES,NO,2015,2015,1,Passeriformes,Motacillidae,Meadow Pipit,Anthus_pratensis,Anthus_pratensis,Anthus pratensis,Anthus_pratensis,NT,NT,NT,Non-threatened,Non-threatened,NA,,Decreasing,"﻿Noord-Hollands Duinreservaat, Netherlands","﻿52°33'N, 4°36'E",52.5500000,4.6000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,5,95,NA,11.00,,,,3.8 ± 0.7,3.1,4.5,3.8,0.669781615,4.675,NA,NA,NA,NA,NA,NA,45,45,NA,139.5,202.5,171,210.375,NA,NA,171,162.45,0.95,Fraction of unhatched eggs in nests where at least one egg hatched,Fraction of hatched eggs in nests where at least one egg hatched,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,,"Doesn't specify if predated/abandoned eggs excluded, but implied are"
van Oosten,2016,van Oosten 2016,van Oosten 2016 (02),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,1.088,Netherlands Ornithologists' Union,﻿10.5253/arde.v104i3.a2,Found in van Oosten et al. (2019),YES,YES,NO,2015,2015,1,Passeriformes,Motacillidae,Meadow Pipit,Anthus_pratensis,Anthus_pratensis,Anthus pratensis,Anthus_pratensis,NT,NT,NT,Non-threatened,Non-threatened,NA,,Decreasing,"﻿Amsterdamse Waterleidingduinen, Netherlands","﻿52°20'N, 4°30'E",52.3333330,4.5000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,3,97,NA,11.00,,,,4.1 ± 0.9,3.2,5,4.1,0.669781615,4.675,NA,NA,NA,NA,NA,NA,15,15,NA,48,75,61.5,70.125,NA,NA,61.5,59.655,0.97,Fraction of unhatched eggs in nests where at least one egg hatched,Fraction of hatched eggs in nests where at least one egg hatched,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,,"Doesn't specify if predated/abandoned eggs excluded, but implied are"
van Oosten,2016,van Oosten 2016,van Oosten 2016 (03),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,1.088,Netherlands Ornithologists' Union,﻿10.5253/arde.v104i3.a2,Found in van Oosten et al. (2019),YES,YES,NO,2015,2015,1,Passeriformes,Muscicapidae,Northern Wheatear,Oenanthe_oenanthe,Oenanthe_oenanthe,Oenanthe oenanthe,Oenanthe_oenanthe,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"﻿Noord-Hollands Duinreservaat, Netherlands","﻿52°33'N, 4°36'E",52.5500000,4.6000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,20,80,NA,7.00,,,,5.2 ± 1,4.2,6.2,5.2,0.751086555,5.6375,NA,NA,NA,NA,NA,NA,13,13,NA,54.6,80.6,67.6,73.2875,NA,NA,67.6,54.08,0.8,Fraction of unhatched eggs in nests where at least one egg hatched,Fraction of hatched eggs in nests where at least one egg hatched,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,,"Doesn't specify if predated/abandoned eggs excluded, but implied are"
van Oosten,2016,van Oosten 2016,van Oosten 2016 (04),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,1.088,Netherlands Ornithologists' Union,﻿10.5253/arde.v104i3.a2,Found in van Oosten et al. (2019),YES,YES,NO,2015,2015,1,Passeriformes,Muscicapidae,Common Stonechat,Saxicola_torquatus/Saxicola_torquata,Saxicola_torquatus,Saxicola torquatus,Saxicola_torquatus,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"﻿Noord-Hollands Duinreservaat, Netherlands","﻿52°33'N, 4°36'E",52.5500000,4.6000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,5,95,NA,11.00,,,,5.4 ± 0.7,4.7,6.1,5.4,0.712088235,5.153333333,NA,NA,NA,NA,NA,NA,40,40,NA,188,244,216,206.1333333,NA,NA,216,205.2,0.95,Fraction of unhatched eggs in nests where at least one egg hatched,Fraction of hatched eggs in nests where at least one egg hatched,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,,"Doesn't specify if predated/abandoned eggs excluded, but implied are"
van Oosten,2016,van Oosten 2016,van Oosten 2016 (05),Comparative Breeding Biology of Three Insectivorous Songbirds in Dutch Dune Grasslands,Ardea,1.088,Netherlands Ornithologists' Union,﻿10.5253/arde.v104i3.a2,Found in van Oosten et al. (2019),YES,YES,NO,2015,2015,1,Passeriformes,Muscicapidae,Common Stonechat,Saxicola_torquatus/Saxicola_torquata,Saxicola_torquatus,Saxicola torquatus,Saxicola_torquatus,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"﻿Amsterdamse Waterleidingduinen, Netherlands","﻿52°20'N, 4°30'E",52.3333330,4.5000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,9,91,NA,16.00,,,,5.5 ± 0.8,4.7,6.3,5.5,0.712088235,5.153333333,NA,NA,NA,NA,NA,NA,19,19,NA,89.3,119.7,104.5,97.91333333,NA,NA,104.5,95.095,0.91,Fraction of unhatched eggs in nests where at least one egg hatched,Fraction of hatched eggs in nests where at least one egg hatched,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,,"Doesn't specify if predated/abandoned eggs excluded, but implied are"
van Oosten et al.,2019,van Oosten et al. 2019,van Oosten et al. 2019 (01),Hatching failure and accumulation of organic pollutants through the terrestrial food web of a declining songbird in Western Europe,Science of the Total Environment,6.551,Elsevier,﻿10.1016/j.scitotenv.2018.09.138,NA,YES,YES,YES,2008,2013,6,Passeriformes,Muscicapidae,Northern Wheatear,Oenanthe_oenanthe,Oenanthe_oenanthe,Oenanthe oenanthe,Oenanthe_oenanthe,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"﻿Vogelduin, Noord-Hollands Dune Reserve, Netherlands",﻿52°55′N 06°55′E,52.9166670,6.9166670,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,20,80,0.00,0.00,,,,4.13,4.13,4.13,4.13,0.751086555,5.6375,NA,NA,NA,NA,NA,105,NA,105,NA,433.65,433.65,433.65,591.9375,NA,NA,433.65,346.92,0.8,Percentage of failed eggs in all nests with at least 1 egg hatched,"""",Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,Not stated,NA,Unhatched eggs showed egg yolk infections or embryonic malformations,"Eggs that didn't hatch in otherwise successful nests were counted as failed, excludes nests where females were predated upon or nests disturbed by other external factors (e.g. burrow collapse)"
van Oosten et al.,2019,van Oosten et al. 2019,van Oosten et al. 2019 (02),Hatching failure and accumulation of organic pollutants through the terrestrial food web of a declining songbird in Western Europe,Science of the Total Environment,6.551,Elsevier,﻿10.1016/j.scitotenv.2018.09.138,NA,YES,YES,YES,2008,2013,6,Passeriformes,Muscicapidae,Northern Wheatear,Oenanthe_oenanthe,Oenanthe_oenanthe,Oenanthe oenanthe,Oenanthe_oenanthe,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"﻿Aekingerzand, Netherlands","﻿52°33′N, 04°36′E",52.5500000,4.6000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,14,86,0.00,0.00,,,,4.13,4.13,4.13,4.13,0.751086555,5.6375,NA,NA,NA,NA,NA,129,NA,129,NA,532.77,532.77,532.77,727.2375,NA,NA,532.77,458.1822,0.86,Percentage of failed eggs in all nests with at least 1 egg hatched,"""",Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,Not stated,NA,Unhatched eggs showed egg yolk infections or embryonic malformations,"Eggs that didn't hatch in otherwise successful nests were counted as failed, excludes nests where females were predated upon or nests disturbed by other external factors (e.g. burrow collapse)"
van Oosten et al.,2019,van Oosten et al. 2019,van Oosten et al. 2019 (03),Hatching failure and accumulation of organic pollutants through the terrestrial food web of a declining songbird in Western Europe,Science of the Total Environment,6.551,Elsevier,﻿10.1016/j.scitotenv.2018.09.138,"Used as reference populations, original source Arlt (unpublished)",YES,YES,YES,2008,2013,6,Passeriformes,Muscicapidae,Northern Wheatear,Oenanthe_oenanthe,Oenanthe_oenanthe,Oenanthe oenanthe,Oenanthe_oenanthe,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Uppsala, Central Sweden","59°50′N, 17°50′E",59.8333330,17.8333330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,6,94,0.00,0.00,,,,4.13,4.13,4.13,4.13,0.751086555,5.6375,NA,NA,NA,NA,NA,125,NA,125,NA,516.25,516.25,516.25,704.6875,NA,NA,516.25,485.275,0.94,Percentage of failed eggs in all nests with at least 1 egg hatched,"""",Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,Not stated,NA,,
Vedder et al.,2017,Vedder et al. 2017,Vedder et al. 2017 (01),Intraspecific variation in and environment-dependent resource allocation to embryonic development time in Common Terns,Physiological and Biochemical Zoology,2.250,University of Chicago Press [Society for Integrative and Comparative Biology],﻿10.1086/691690,NA,YES,YES,NO,2015,2015,1,Charadriiformes,Laridae,Common Tern,Sterna_hirundo,Sterna_hirundo,Sterna hirundo,Sterna_hirundo,LC,LC,LC,Non-threatened,Non-threatened,NA,,Unknown,"Wilhelmshaven, German North Sea Coast","﻿53°36'N, 08°06'E",53.6000000,8.1000000,Wild managed,Managed,,Artificial incubation (36.5°C),Artificial,No,No,No,No,No,No,Yes,No,14,86,0.00,0.00,,,,2.835164835,2.835164835,2.835164835,2.835164835,0.391155729,2.46125,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,43,36.98,0.86,Not stated,Not stated,Not stated,NA,NA,NA,"23.1% of all unhatched eggs (n=26) showed no visible signs of development, may have been infertile",Only 2- and 3-egg clutches; Incubation at 36.5°C may be suboptimal - no SDs or SEs reported
Vedder et al.,2017,Vedder et al. 2017,Vedder et al. 2017 (02),Intraspecific variation in and environment-dependent resource allocation to embryonic development time in Common Terns,Physiological and Biochemical Zoology,2.250,University of Chicago Press [Society for Integrative and Comparative Biology],﻿10.1086/691690,NA,YES,YES,NO,2015,2016,2,Charadriiformes,Laridae,Common Tern,Sterna_hirundo,Sterna_hirundo,Sterna hirundo,Sterna_hirundo,LC,LC,LC,Non-threatened,Non-threatened,NA,,Unknown,"Wilhelmshaven, German North Sea Coast","﻿53°36'N, 08°06'E",53.6000000,8.1000000,Wild managed,Managed,,Artificial incubation (37.5°C),Artificial,No,No,No,No,No,No,Yes,No,8.7,91.3,0.00,0.00,,,,2.835164835,2.835164835,2.835164835,2.835164835,0.391155729,2.46125,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,215,196.295,0.913,Not stated,Not stated,Not stated,NA,NA,NA,"23.1% of all unhatched eggs (n=26) showed no visible signs of development, may have been infertile",Only 2- and 3-egg clutches; Mean of 2015 and 2016 (no sig. diff.) - no SDs or SEs reported and no info on number of eggs per year (only total)
Villard & Bretagnolle,2010,Villard & Bretagnolle 2010,Villard & Bretagnolle 2010 (01),Breeding biology of the Bridled Tern (Sterna anaethetus) in New Caledonia,Waterbirds,0.584,The Waterbird Society,﻿10.1071/MU9850240,NA,YES,YES,NO,2002,2003,1,Charadriiformes,Laridae,Bridled Tern,Onychoprion_anaethetus/Sterna_anaethetus,Onychoprion_anaethetus,Sterna anaethetus,Sterna_anaethetus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Unknown,New Caledonia,"﻿22°33’S, 166°47’E",-22.5500000,166.7833330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,36.84210526,63.15789474,0.00,0.00,,,,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,19,19,19,19,19,19,19,NA,NA,19,12,0.631578947,Not stated,Not stated,Not stated,NA,NA,NA,,No predation observed; recalculated HS % from text and Table 1
Villard & Bretagnolle,2010,Villard & Bretagnolle 2010,Villard & Bretagnolle 2010 (02),Breeding biology of the Bridled Tern (Sterna anaethetus) in New Caledonia,Waterbirds,0.584,The Waterbird Society,﻿10.1071/MU9850240,NA,YES,YES,NO,2003,2004,1,Charadriiformes,Laridae,Bridled Tern,Onychoprion_anaethetus/Sterna_anaethetus,Onychoprion_anaethetus,Sterna anaethetus,Sterna_anaethetus,LC,LC,LC,Non-threatened,Non-threatened,NA,,Unknown,New Caledonia,"﻿22°33’S, 166°47’E",-22.5500000,166.7833330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,12,88,0.00,0.00,,,,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,50,50,50,50,50,50,50,NA,NA,50,44,0.88,Not stated,Not stated,Not stated,NA,NA,NA,,No predation observed; recalculated HS % from text and Table 1
Vuarin et al.,2018,Vuarin et al. 2018,Vuarin et al. 2018,No evidence for prezygotic postcopulatory avoidance of kin despite high inbreeding depression,Molecular Ecology,5.163,Wiley-Blackwell,﻿10.1111/mec.14951,NA,YES,YES,NO,2016,2016,1,Otidiformes,Otididae,North African Houbara Bustard,Chlamydotis_undulata_undulata,Chlamydotis_undulata_undulata,Chlamydotis undulata,Chlamydotis_undulata,SUBSPECIES,Not Evaluated (NE),VU,NA,Threatened,VU,Not Evaluated,SUBSPECIES,"Emirates Center for Wildlife Propagation, eastern Morocco",NA,33.0470570,-3.9952470,Captive,Managed,Captive-breeding (conservation),Captive; artificial insemination; genetic diversity management; artificial incubation,Artificial,No,Yes,Yes,No,No,No,Yes,Genetic diversity management,56.58198614,43.41801386,0.00,0.00,,,,1-3 eggs,1,3,2,0.395035018,2.483333333,NA,NA,NA,NA,NA,NA,NA,NA,433,NA,NA,NA,NA,NA,NA,433,188,0.434180139,"""",Proportion of hatched eggs per clutch,Percentage/Proportion of eggs that hatched per clutch/nest,NA,NA,NA,,"469 eggs laid, 5 broken in cage, 31 poor-quality shell, not incubated"
Vuarin et al.,2019,Vuarin et al. 2019,Vuarin et al. 2019,Post-copulatory sexual selection allows females to alleviate the fitness costs incurred when mating with senescing males,Proceedings of the Royal Society B - Biological Sciences,4.637,Royal Society,﻿10.1098/rspb.2019.1675,NA,YES,YES,NO,2016,2016,1,Otidiformes,Otididae,North African Houbara Bustard,Chlamydotis_undulata_undulata,Chlamydotis_undulata_undulata,Chlamydotis undulata,Chlamydotis_undulata,SUBSPECIES,Not Evaluated (NE),VU,NA,Threatened,VU,Not Evaluated,SUBSPECIES,"Emirates Center for Wildlife Propagation, eastern Morocco",NA,33.0470570,-3.9952470,Captive,Managed,Captive-breeding (conservation),Captive; artificial insemination; genetic diversity management; artificial incubation,Artificial,No,Yes,Yes,No,No,No,Yes,Genetic diversity management,41.97860963,58.02139037,0.00,0.00,,,,1-3 eggs,1,3,2,0.395035018,2.483333333,NA,NA,NA,NA,NA,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,374,217,0.580213904,Not stated,Not stated,Not stated,NA,NA,NA,"Fertility rate high (94% young-old, 93% young, 92% old); eggs sired by old fathers had reduced hatching success; low hatching success for eggs fertilised by males genetically related to female","401 eggs laid, 1 damaged (not incubated), 26 had poor quality shell (incubated separately) and all opened at 5-6 days - 374 incubated normally (26 infertile, 131 embryo mortality); taken from Table S12"
